epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9572,3.03806,6.74132,0.77454,5.76334,2.87534,0.01018,0.15152,0.00815,0.00257,0,0,0,0,2.85975,6.63233,0.72221,5.42245,2.2883,2e-05,2e-05,2e-05
2,26.9624,2.42968,6.93354,0.74756,5.21434,2.02504,0.07802,0.12121,0.02888,0.00983,0,0,0,0,2.53751,6.60052,0.71794,4.11194,1.96235,5.9406e-05,5.9406e-05,5.9406e-05
3,38.688,2.71012,7.09959,0.73701,5.06606,2.31874,0.07068,0.09091,0.0432,0.02056,0,0,0,0,2.16079,6.57743,0.71403,2.83124,1.68287,9.802e-05,9.802e-05,9.802e-05
4,50.653,2.16694,7.02268,0.73937,2.51782,1.78862,0.26045,0.39487,0.1928,0.10956,0,0,0,0,1.95543,6.60545,0.71073,2.31283,1.52521,0.000135842,0.000135842,0.000135842
5,62.1689,2.01815,6.68185,0.74769,1.98273,1.67629,0.76178,0.38792,0.48501,0.20426,0,0,0,0,1.76746,6.57651,0.7101,2.64901,1.36458,0.000172872,0.000172872,0.000172872
6,73.7969,1.54994,6.38891,0.73666,1.64411,1.34484,0.83676,0.54545,0.6113,0.35504,0,0,0,0,1.39501,6.57298,0.70869,2.46296,1.18943,0.00020911,0.00020911,0.00020911
7,85.7881,1.44264,5.88918,0.72659,1.81719,1.27838,0.68278,0.66667,0.65709,0.44399,0.00014,0.0303,7e-05,1e-05,1.21662,6.5148,0.708,1.8102,1.1113,0.000244556,0.000244556,0.000244556
8,97.286,1.48325,6.21556,0.71454,1.69842,1.20769,0.95544,0.65005,0.75855,0.4876,0.00014,0.0303,0.00015,3e-05,1.28415,6.32187,0.70878,1.54508,1.13052,0.00027921,0.00027921,0.00027921
9,109.177,1.32467,5.4903,0.74274,1.38673,1.2131,0.91617,0.6625,0.79728,0.52424,0.00015,0.0303,0.00016,3e-05,1.26657,6.25422,0.71101,1.37407,1.12535,0.000313072,0.000313072,0.000313072
10,120.936,1.12804,4.84784,0.73807,1.12928,1.06865,0.84737,0.78788,0.83884,0.54696,0,0,0,0,1.22531,6.22703,0.70925,1.20738,1.10361,0.000346142,0.000346142,0.000346142
11,132.385,1.25312,5.40525,0.72782,1.14979,1.15864,0.88496,0.78788,0.89125,0.59477,0,0,0,0,1.17574,6.16266,0.70861,0.99411,1.07965,0.00037842,0.00037842,0.00037842
12,143.785,1.22266,5.14059,0.72085,1.11263,1.0898,0.95592,0.78788,0.89551,0.59632,0,0,0,0,1.18009,6.08232,0.70694,0.91385,1.06265,0.000409906,0.000409906,0.000409906
