epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0446,2.98433,6.86114,0.74645,5.24187,2.49478,0.12401,0.20567,0.06772,0.02363,0,0,0,0,2.11747,6.65717,0.71267,2.80367,1.6755,0.00014,0.00014,0.00014
2,135.242,1.94029,6.73767,0.73225,2.43969,1.50991,0.44136,0.42586,0.36338,0.18465,0,0,0,0,1.58308,6.6744,0.69387,2.53502,1.33048,0.00029703,0.00029703,0.00029703
3,205.352,1.59934,5.27717,0.6877,1.70506,1.31422,0.53617,0.58156,0.5262,0.28127,0.00012,0.02128,6e-05,1e-05,1.4828,6.17186,0.69169,1.88407,1.27306,0.000450892,0.000450892,0.000450892
4,270.167,1.51587,4.20821,0.69348,1.36205,1.22383,0.78957,0.73759,0.80452,0.47639,0.28535,0.13475,0.09561,0.00963,1.38873,5.55168,0.68439,1.51983,1.26395,0.000601586,0.000601586,0.000601586
5,334.006,1.43484,3.6225,0.68069,1.18159,1.18781,0.83563,0.73759,0.78586,0.48143,0.70103,0.48936,0.49344,0.0927,1.40581,4.72905,0.65738,1.86043,1.25119,0.000749112,0.000749112,0.000749112
6,397.627,1.35803,3.01706,0.64466,1.1294,1.15422,0.89024,0.77305,0.82642,0.46028,0.79154,0.68794,0.68796,0.21428,1.47651,3.91393,0.62685,2.02026,1.29525,0.00089347,0.00089347,0.00089347
7,460.013,1.38802,2.71638,0.62715,1.04478,1.14563,0.86077,0.75887,0.85018,0.50568,0.85624,0.75887,0.84784,0.42578,1.41974,3.00004,0.5955,2.05172,1.31269,0.00103466,0.00103466,0.00103466
8,515.282,1.31057,2.33651,0.60423,1.017,1.15813,0.8167,0.87234,0.87818,0.50875,0.76892,0.85106,0.8451,0.46677,1.28707,2.19007,0.5467,1.98915,1.24858,0.00117268,0.00117268,0.00117268
9,570.854,1.29938,1.99367,0.57399,1.00081,1.14011,0.8686,0.90071,0.91382,0.55493,0.86176,0.89362,0.8935,0.54217,1.28725,1.7937,0.52432,1.53687,1.21994,0.00130754,0.00130754,0.00130754
10,626.691,1.30012,1.90824,0.55525,1.02784,1.15005,0.93211,0.8764,0.93104,0.56736,0.91714,0.86349,0.90214,0.55704,1.32505,1.73743,0.54248,0.94441,1.23943,0.00143922,0.00143922,0.00143922
11,684.768,1.28894,1.72716,0.52234,0.94244,1.13762,0.88866,0.89362,0.94995,0.61668,0.89429,0.90071,0.95175,0.62833,1.25237,1.39716,0.4658,1.08497,1.22208,0.00156774,0.00156774,0.00156774
12,743.504,1.29637,1.61798,0.49393,0.98353,1.15357,0.80432,0.92908,0.92851,0.51966,0.79818,0.92199,0.92669,0.62155,1.28534,1.36321,0.42094,1.20128,1.22028,0.00169309,0.00169309,0.00169309
13,804.522,1.29134,1.54906,0.47565,0.98936,1.12143,0.85313,0.86511,0.92536,0.57001,0.85313,0.86511,0.92803,0.71067,1.26302,1.13032,0.37729,0.96982,1.1801,0.0017624,0.0017624,0.0017624
14,860.401,1.23749,1.41312,0.46574,0.95918,1.12716,0.96396,0.9078,0.97403,0.63146,0.96396,0.9078,0.97544,0.72869,1.21121,1.14385,0.33639,1.0731,1.15956,0.0017426,0.0017426,0.0017426
15,915.52,1.21376,1.31992,0.43856,0.88871,1.14126,0.91081,0.79667,0.91696,0.56079,0.91888,0.80339,0.92492,0.66477,1.25632,1.0544,0.33075,1.10782,1.19305,0.0017228,0.0017228,0.0017228
16,971.085,1.28276,1.10295,0.44961,0.88648,1.16553,0.90556,0.87943,0.92242,0.55482,0.90556,0.87943,0.92319,0.68181,1.32069,1.03854,0.35947,1.06068,1.34219,0.001703,0.001703,0.001703
17,1026.22,1.28967,1.19072,0.45239,0.83966,1.16116,0.92806,0.91492,0.95694,0.61294,0.92806,0.91492,0.96363,0.71906,1.15116,0.96514,0.33826,0.85693,1.14242,0.0016832,0.0016832,0.0016832
18,1081.24,1.14858,1.06658,0.42172,0.81116,1.11225,0.9727,0.90071,0.96686,0.65658,0.9727,0.90071,0.97279,0.79234,1.14098,0.92061,0.30927,0.764,1.08139,0.0016634,0.0016634,0.0016634
19,1136.29,1.17636,1.0054,0.37312,0.81308,1.10094,0.97668,0.89097,0.97649,0.67961,0.96216,0.90168,0.98047,0.8197,1.08371,0.83575,0.27746,0.72744,1.06242,0.0016436,0.0016436,0.0016436
20,1191.34,1.13312,0.9988,0.41303,0.8094,1.10447,0.94292,0.9373,0.98054,0.66944,0.94292,0.9373,0.98054,0.85078,1.09316,0.70185,0.25043,0.68173,1.08793,0.0016238,0.0016238,0.0016238
21,1246.27,1.22751,0.83347,0.38294,0.75681,1.13689,0.93428,0.92908,0.97002,0.67742,0.93428,0.92908,0.97002,0.80727,1.05834,0.71338,0.23319,0.68664,1.05677,0.001604,0.001604,0.001604
22,1301.64,1.08179,0.92277,0.37653,0.73374,1.04553,0.97098,0.94906,0.98872,0.71435,0.97823,0.95615,0.99047,0.85294,1.03363,0.6587,0.22922,0.63856,1.03622,0.0015842,0.0015842,0.0015842
23,1356.29,1.15173,1.00851,0.44016,0.76344,1.11965,0.93046,0.91489,0.97763,0.68616,0.93046,0.91489,0.98025,0.78429,1.08081,0.74427,0.21184,0.70623,1.09058,0.0015644,0.0015644,0.0015644
24,1411.14,1.11539,0.9318,0.36994,0.73237,1.04345,0.91453,0.84397,0.93182,0.65128,0.91453,0.84397,0.93595,0.75852,1.03785,0.67176,0.18664,0.82669,1.096,0.0015446,0.0015446,0.0015446
